"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter","Info","bt_data","comment"
"6154","98.782","Slave_0xaf9a9b6d","LE 1M","ATT","5","151\302\265s","1","0","True","693","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"6156","98.782","Slave_0xaf9a9b6d","LE 1M","ATT","14","151\302\265s","0","1","False","693","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"6157","98.829","Master_0xaf9a9b6d","LE 1M","ATT","77","46579\302\265s","1","1","False","694","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e305231e5a14000f4b1e5014000a00000000000000000000000000000000000000â\200\246",""
"6160","98.877","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","True","695","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"6162","98.877","Slave_0xaf9a9b6d","LE 1M","ATT","14","150\302\265s","1","0","False","695","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"6163","98.924","Master_0xaf9a9b6d","LE 1M","ATT","77","46580\302\265s","0","0","False","696","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e305190a5a14140a0000000000000000000000000000000000000000000000000fâ\200\246",""
"6164","98.971","Master_0xaf9a9b6d","LE 1M","ATT","77","46807\302\265s","0","0","False","697","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e305190a5a14140a0000000000000000000000000000000000000000000000000fâ\200\246",""
"6166","99.019","Master_0xaf9a9b6d","LE 1M","ATT","77","46577\302\265s","0","0","False","698","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e305190a5a14140a0000000000000000000000000000000000000000000000000fâ\200\246",""
"6169","99.020","Slave_0xaf9a9b6d","LE 1M","ATT","5","149\302\265s","1","0","True","698","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"6171","99.021","Slave_0xaf9a9b6d","LE 1M","ATT","14","149\302\265s","0","1","False","698","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"6172","99.066","Master_0xaf9a9b6d","LE 1M","ATT","77","45504\302\265s","1","1","False","699","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e30a0000000000000000000000000000000000000000000000000f02fcfc830f88â\200\246",""
"6175","99.114","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","True","700","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"6177","99.115","Slave_0xaf9a9b6d","LE 1M","ATT","14","150\302\265s","1","0","False","700","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"6178","99.161","Master_0xaf9a9b6d","LE 1M","ATT","77","46581\302\265s","0","0","False","701","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e3000000000000000000000000000000000000000f01fcfc030f80580000000814â\200\246",""
"6181","99.209","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","True","702","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"6183","99.210","Slave_0xaf9a9b6d","LE 1M","ATT","14","150\302\265s","0","1","False","702","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"6184","99.256","Master_0xaf9a9b6d","LE 1M","ATT","77","46580\302\265s","1","1","False","703","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e3000000000000000000000000000f01fcfc000f885c00000008143c1e08081e3câ\200\246",""
"6187","99.304","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","True","704","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"6189","99.305","Slave_0xaf9a9b6d","LE 1M","ATT","14","150\302\265s","1","0","False","704","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"6191","99.352","Slave_0xaf9a9b6d","LE 1M","ATT","14","150\302\265s","1","0","False","705","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"6192","99.399","Master_0xaf9a9b6d","LE 1M","ATT","77","47079\302\265s","0","0","False","706","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff43e3000000000000000f03fcfc000c006800000008000000080800000008000f0f00â\200\246",""
"6196","99.494","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","True","708","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"6198","99.495","Slave_0xaf9a9b6d","LE 1M","ATT","14","151\302\265s","0","1","False","708","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"6199","99.541","Master_0xaf9a9b6d","LE 1M","ATT","17","46579\302\265s","1","1","False","709","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff07e3002800fcfc0a",""
"6200","99.589","Master_0xaf9a9b6d","LE 1M","ATT","17","47287\302\265s","1","1","False","710","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff07e3002800fcfc0a",""
"6203","99.637","Slave_0xaf9a9b6d","LE 1M","ATT","5","149\302\265s","0","1","True","711","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"6205","99.637","Slave_0xaf9a9b6d","LE 1M","ATT","14","149\302\265s","1","0","False","711","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff04e34f4b81",""
"7987","143.007","Master_0xaf9a9b6d","LE 1M","ATT","35","47193\302\265s","0","0","False","1624","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff1917416374696f6e2f4c696768746e696e6720426f78696e67e8","Action Lightning Boxing"
"7990","143.054","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","False","1625","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"8378","152.603","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","1","0","False","1826","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03170a24",""
"8417","153.553","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","0","1","False","1846","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317142e",""
"8468","154.788","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","1","0","False","1872","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03171e38",""
"8490","155.358","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","1","0","False","1884","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03172842",""
"8508","155.785","Slave_0xaf9a9b6d","LE 1M","ATT","13","151\302\265s","0","1","False","1893","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317324c",""
"8543","156.688","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","1","0","False","1912","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317324c",""
"8563","157.163","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","1","0","False","1922","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff0317324c",""
